date,time,code,open,high,low,close,volume,amount,adjustflag
2017-07-27,20170727142500000,sh.601398,5.5000,5.5100,5.5000,5.5000,2644100,14553377.0000,3
2017-07-27,20170727143000000,sh.601398,5.5000,5.5100,5.5000,5.5000,1998700,11002050.0000,3
2017-07-27,20170727143500000,sh.601398,5.5000,5.5200,5.5000,5.5100,2676800,14748108.0000,3
2017-07-27,20170727144000000,sh.601398,5.5100,5.5200,5.5100,5.5100,2078100,11457837.0000,3
2017-07-27,20170727144500000,sh.601398,5.5100,5.5200,5.5100,5.5100,3667900,20228896.0000,3
2017-07-27,20170727145000000,sh.601398,5.5100,5.5200,5.5100,5.5100,2300800,12683842.0000,3
2017-07-27,20170727145500000,sh.601398,5.5100,5.5300,5.5000,5.5300,5351500,29530588.0000,3
2017-07-27,20170727150000000,sh.601398,5.5200,5.5300,5.5100,5.5300,4169100,23019788.0000,3
2017-07-28,20170728093500000,sh.601398,5.5100,5.5100,5.4800,5.4900,4122900,22633584.0000,3
2017-07-28,20170728094000000,sh.601398,5.4800,5.5000,5.4500,5.4600,6774500,37024664.0000,3
2017-07-28,20170728094500000,sh.601398,5.4600,5.4700,5.4200,5.4300,8278400,45010140.0000,3
2017-07-28,20170728095000000,sh.601398,5.4400,5.4700,5.4300,5.4500,4053800,22055642.0000,3
2017-07-28,20170728095500000,sh.601398,5.4700,5.5000,5.4500,5.4900,6588400,36105568.0000,3
2017-07-28,20170728100000000,sh.601398,5.4800,5.5000,5.4700,5.4900,2626600,14397629.0000,3
2017-07-28,20170728100500000,sh.601398,5.4800,5.4900,5.4700,5.4900,2960000,16230595.0000,3
2017-07-28,20170728101000000,sh.601398,5.5000,5.5000,5.4800,5.5000,4467000,24544826.0000,3
2017-07-28,20170728101500000,sh.601398,5.5000,5.5300,5.4900,5.5200,4186900,23065696.0000,3
2017-07-28,20170728102000000,sh.601398,5.5300,5.5400,5.5200,5.5300,7001300,38734612.0000,3
2017-07-28,20170728102500000,sh.601398,5.5300,5.5500,5.5200,5.5300,4243300,23497486.0000,3
2017-07-28,20170728103000000,sh.601398,5.5400,5.5500,5.5200,5.5400,6163500,34101552.0000,3
2017-07-28,20170728103500000,sh.601398,5.5300,5.5500,5.5300,5.5500,5401500,29937768.0000,3
2017-07-28,20170728104000000,sh.601398,5.5400,5.5800,5.5400,5.5800,8683800,48293124.0000,3
2017-07-28,20170728104500000,sh.601398,5.5700,5.6000,5.5700,5.5800,8615800,48114676.0000,3
2017-07-28,20170728105000000,sh.601398,5.5800,5.5900,5.5500,5.5500,3656500,20396914.0000,3
2017-07-28,20170728105500000,sh.601398,5.5500,5.5700,5.5500,5.5700,1655800,9205376.0000,3
2017-07-28,20170728110000000,sh.601398,5.5600,5.5700,5.5500,5.5600,1108900,6164328.0000,3
2017-07-28,20170728110500000,sh.601398,5.5500,5.5600,5.5400,5.5400,940700,5223570.0000,3
